ILE_BANKOW;ILE_BANKOW_12;ILE_MIES_OD_NAJSTAR_OTW;ILE_MIES_OD_NAJSTAR_OTW_NRAT;ILE_MIES_OD_NAJSTAR_OTW_RAT;ILE_PRODUKTOW;ILE_RACH_OTW;ILE_RACH_OTW_12;ILE_RACH_OTW_NRAT;ILE_RACH_OTW_NRAT_12;ILE_RACH_OTW_RAT;ILE_RACH_OTW_RAT_12;ILE_RACH_OTW_BEZ_HIPO;ILE_RACH_OTW_KARTY;ILE_RACH_OTW_ODNAWIALNE;ILE_RACH_ZAMK;ILE_ZAPYTAN_12;ILE_ZAPYTAN_3;ILE_ZAPYTAN_6;ILE_ZAPYTAN_9;L_RACHUNKOW;MAX_NAL_WYMAGAL;MAX_RATA;MAX_WNIOSKODAWCY;MIN_L_RAT_DO_SPLATY;SUMA_DO_SPLATY;SUMA_DO_SPLATY_BEZ_HIPO;SUMA_DO_SPLATY_KARTY;SUMA_DO_SPLATY_NRAT;SUMA_DO_SPLATY_ODNAWIALNE;SUMA_DO_SPLATY_RAT;SUMA_LIMIT;SUMA_LIMIT_KARTY;SUMA_LIMIT_ODNAWIALNE;SUMA_NAL_WYMAGAL;SUMA_NAL_WYMAGAL_BEZ_HIPO;SUMA_NAL_WYMAGAL_KARTY;SUMA_NAL_WYMAGAL_NRAT;SUMA_RATA;STATUS
1;0;43,74;0;43,74;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1230,7571;2;2766;340018,0052;0;0;0;0;340018,0052;0;0;0;0;0;0;0;1230,7571;0
1;1;99,68;0;99,68;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;155,766;2;847;14698,9185;0;0;0;0;14698,9185;0;0;0;0;0;0;0;155,766;0
1;0;32,9;0;32,9;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;596;2;75;44505;0;0;0;0;44505;0;0;0;0;0;0;0;596;0
1;1;150,23;150,23;16,77;2;3;1;1;0;2;1;3;0;1;4;1;0;0;0;7;30;1111;2;51;101542;101542;0;3030;3030;98512;3000;0;3000;30;30;0;30;1277;0
2;2;13,19;0;13,19;1;2;2;0;0;2;2;2;0;0;5;3;0;1;1;7;0;230;1;9;4438;4438;0;0;0;4438;0;0;0;0;0;0;0;448;0
3;5;26,48;22,65;26,48;3;6;8;1;0;5;8;6;0;1;20;8;0;2;4;26;0;405;1;1;17495;17495;0;1229;1229;16266;1500;0;1500;0;0;0;0;997;0
1;1;7,19;0;7,19;1;1;1;0;0;1;1;1;0;0;0;1;0;0;1;1;0;761;1;27;20550;20550;0;0;0;20550;0;0;0;0;0;0;0;761;0
1;3;4,19;0;4,19;1;1;1;0;0;1;1;0;0;0;0;4;0;4;4;1;4;820;2;285;234100;0;0;0;0;234100;0;0;0;4;0;0;0;820;0
1;0;97,97;97,97;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;1;0;0;0;0;0;0;0;1500;0;1500;0;0;0;0;0;0
1;0;19,84;19,84;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;-1;1;0;0;0;0;0;0;0;2000;2000;0;0;0;0;0;0;0
1;2;4,35;0;4,35;1;1;1;0;0;1;1;1;0;0;1;2;0;2;2;2;0;34;1;16;543;543;0;0;0;543;0;0;0;0;0;0;0;34;0
2;3;25,58;25,58;10,87;3;4;2;2;0;2;2;4;2;0;3;5;1;1;2;7;0;195;1;8;9321;9321;3532;3532;0;5789;3500;3500;0;0;0;0;0;249;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;31,39;31,39;0;1;1;0;1;0;0;0;1;1;0;2;0;0;0;0;3;0;-1;1;0;0;0;0;0;0;0;500;500;0;0;0;0;0;0;0
1;0;107,29;107,29;0;1;1;0;1;0;0;0;1;0;1;2;0;0;0;0;3;-1;-1;2;0;0;0;0;0;0;0;4500;0;4500;0;0;0;0;0;0
1;1;6,52;0;6,52;1;1;1;0;0;1;1;1;0;0;0;1;0;0;1;1;0;346;2;25;8679;8679;0;0;0;8679;0;0;0;0;0;0;0;346;0
1;0;24,65;24,65;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;-1;-1;1;0;0;0;0;0;0;0;1500;1500;0;0;0;0;0;0;0
1;0;86,77;86,77;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;2;0;0;0;0;0;0;0;300;0;300;0;0;0;0;0;0
1;0;122,61;122,61;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;3;0;-1;2;0;4367;4367;0;4367;4367;0;6000;0;6000;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;34,55;0;34,55;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;281,5871;2;1822;51264,6717;0;0;0;0;51264,6717;0;0;0;0;0;0;0;281,5871;0
2;0;106,81;106,81;15,71;2;2;0;1;0;1;0;2;0;1;0;0;0;0;0;2;0;187;2;8;4970;4970;0;3538;3538;1432;5000;0;5000;0;0;0;0;187;0
1;1;140,94;140,94;61,68;2;2;0;1;0;1;0;1;0;1;0;1;1;1;1;2;0;892;2;52;47123;1090;0;1090;1090;46033;5000;0;5000;0;0;0;0;892;0
2;1;91,39;91,39;8,1;2;3;2;2;1;1;1;3;2;0;1;1;0;0;1;4;0;372;1;6;2158;2158;0;0;0;2158;3300;3300;0;0;0;0;0;372;0
1;0;17,1;17,1;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;-1;1;0;507;507;507;507;0;0;3000;3000;0;0;0;0;0;0;0
1;1;144,45;144,45;2,16;2;2;1;1;0;1;1;1;0;1;0;7;0;7;7;2;0;0;3;0;315415;0;0;0;0;315415;8000;0;8000;0;0;0;0;0;0
2;1;125,32;125,32;0;2;2;0;2;0;0;0;2;1;1;1;1;1;1;1;4;0;-1;2;0;4982;4982;0;4982;4982;0;7200;2200;5000;0;0;0;0;0;0
1;0;114,84;114,84;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;1;0;0;0;0;0;0;0;2500;0;2500;0;0;0;0;0;0
2;0;37,13;4,39;37,13;2;3;2;1;1;2;1;1;0;1;0;0;0;0;0;3;0;2784,0909;1;1221;757199,433;0;0;0;0;757199,433;300;0;300;0;0;0;0;5499,4479;0
1;1;31,48;31,16;31,48;2;2;0;1;0;1;0;1;1;0;0;1;0;0;1;2;0;2139,719;1;2573;585869,1635;0;0;0;0;585869,1635;3000;3000;0;0;0;0;0;2139,719;0
1;0;81,06;81,06;0;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;2;0;-1;1;0;1995;1995;0;1995;1995;0;2000;0;2000;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;58,58;58,58;0;1;1;0;1;0;0;0;1;0;1;3;0;0;0;0;5;0;-1;1;0;708;708;0;708;708;0;1200;0;1200;0;0;0;0;0;0
3;3;91,55;91,55;20,77;4;7;4;3;1;4;3;7;1;2;7;3;0;1;3;14;0;600;1;2;45932;45932;604;3580;2976;42352;4500;1000;3500;0;0;0;0;1414;0
1;1;147,16;147,16;3,52;2;2;1;1;0;1;1;2;0;1;1;3;0;1;1;3;0;0;1;0;25570;25570;0;0;0;25570;1000;0;1000;0;0;0;0;0;0
2;2;64,94;0;64,94;1;3;0;0;0;3;0;0;0;0;0;4;0;0;1;3;0;1063;2;305;751926,0978;0;0;0;0;751926,0978;0;0;0;0;0;0;0;1063;0
1;1;8,26;0;8,26;1;1;1;0;0;1;1;0;0;0;0;1;0;0;1;1;0;779;4;178;138318;0;0;0;0;138318;0;0;0;0;0;0;0;779;0
1;0;46,16;46,16;30,9;2;3;0;1;0;2;0;1;0;1;2;0;0;0;0;5;0;651,7634;2;2679;212227,5519;6824;0;6824;6824;205403,5519;7300;0;7300;0;0;0;0;765,6638;0
0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;6,16;0;6,16;1;1;1;0;0;1;1;1;0;0;0;1;0;0;1;1;0;101;1;6;593;593;0;0;0;593;0;0;0;0;0;0;0;101;0
1;1;3,9;0;3,9;1;1;1;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1313;2;155;204169;0;0;0;0;204169;0;0;0;0;0;0;0;1313;0
2;11;207,9;207,9;28,97;2;3;0;1;0;2;0;3;0;1;1;15;1;1;6;4;68353;2196;2;46;92696;92696;0;24343;24343;68353;30000;0;30000;68353;68353;0;0;3696;0
1;1;3,35;0;3,35;1;1;1;0;0;1;1;1;0;0;1;1;0;1;1;2;0;205;1;28;5692;5692;0;0;0;5692;0;0;0;0;0;0;0;205;0
3;0;141,61;141,61;40,13;2;3;0;1;0;2;0;3;0;1;0;0;0;0;0;3;0;260;3;25;14181;14181;0;4355;4355;9826;5000;0;5000;0;0;0;0;347;0
1;0;179,65;179,65;0;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;2;0;-1;2;0;0;0;0;0;0;0;300;0;300;0;0;0;0;0;0
2;0;38,16;38,16;34,13;2;2;0;1;0;1;0;2;1;0;0;0;0;0;0;3;0;640;2;4;2545;2545;42;42;0;2503;3000;3000;0;0;0;0;0;640;0
1;1;119,19;36,39;119,19;3;3;0;1;0;2;0;2;0;1;0;1;0;0;0;3;0;296;2;25;25830,746;9519;0;2006;2006;23824,746;2000;0;2000;0;0;0;0;516,429;0
1;0;117,97;117,97;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;1;0;0;0;0;0;0;0;300;0;300;0;0;0;0;0;0
1;0;134,06;134,06;25,58;2;2;0;1;0;1;0;2;0;1;0;0;0;0;0;2;0;0;1;0;2208;2208;0;269;269;1939;300;0;300;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;35,1;0;35,1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1063,0704;2;4332;460065,8629;0;0;0;0;460065,8629;0;0;0;0;0;0;0;1063,0704;0
1;1;22,65;22,65;1,71;2;2;2;1;0;1;2;2;0;1;3;1;1;1;1;5;0;386;2;6;4682;4682;0;2548;2548;2134;3000;0;3000;0;0;0;0;386;0
1;0;135,87;135,87;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;2;0;0;0;0;0;0;0;5000;0;5000;0;0;0;0;0;0
2;2;22,81;22,81;16,9;3;3;0;1;0;2;0;3;0;1;1;2;1;1;1;4;1;554;1;1;19269;19269;0;917;917;18352;1000;0;1000;1;1;0;0;643;0
1;0;19,84;19,84;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;-1;1;0;4673;4673;4673;4673;0;0;5500;5500;0;0;0;0;0;0;0
1;2;5,71;0;5,71;1;1;1;0;0;1;1;1;0;0;0;2;0;1;2;1;0;70;1;54;3767;3767;0;0;0;3767;0;0;0;0;0;0;0;70;0
1;1;9,94;0;9,94;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;440;1;13;5835;5835;0;0;0;5835;0;0;0;0;0;0;0;440;0
2;0;37,16;37,16;12,68;2;2;0;1;0;1;0;2;1;0;1;0;0;0;0;3;0;796;1;20;16113;16113;0;0;0;16113;1200;1200;0;0;0;0;0;796;0
2;0;154,26;154,26;35,52;3;3;0;2;0;1;0;3;1;1;0;0;0;0;0;3;0;95;1;21;7461;7461;2350;5437;3087;2024;6250;2500;3750;0;0;0;0;95;0
6;2;163,32;163,32;52,48;5;10;1;3;0;7;1;9;1;2;5;3;1;1;3;15;0;2484;2;1;90506;90506;10972;40422;29450;50084;59000;14000;45000;0;0;0;0;6373,0553;0
1;0;116,9;116,9;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;-1;1;0;1902;1902;1902;1902;0;0;5000;5000;0;0;0;0;0;0;0
2;1;15,87;15,87;5,29;2;2;1;1;0;1;1;2;1;0;4;1;0;1;1;6;0;540;1;5;2601;2601;0;0;0;2601;5500;5500;0;0;0;0;0;540;0
1;0;55,26;55,26;0;1;1;0;1;0;0;0;1;0;1;2;0;0;0;0;3;0;-1;2;0;0;0;0;0;0;0;1700;0;1700;0;0;0;0;0;0
2;0;109,84;109,84;0;2;2;0;2;0;0;0;2;0;2;1;0;0;0;0;3;0;-1;2;0;0;0;0;0;0;0;6100;0;6100;0;0;0;0;0;0
2;0;14,94;0;14,94;2;2;1;0;0;2;1;2;0;0;2;0;0;0;0;4;1;121;1;3;1081;1081;0;0;0;1081;0;0;0;1;1;0;0;200;0
1;2;2,06;0;2,06;1;1;1;0;0;1;1;0;0;0;0;2;1;1;1;1;0;1175;2;106;124717;0;0;0;0;124717;0;0;0;0;0;0;0;1175;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;123,1;123,1;12,61;3;3;1;1;0;2;1;3;0;1;0;1;0;1;1;3;0;112;1;8;4806;4806;0;0;0;4806;1000;0;1000;0;0;0;0;112;0
1;1;6,94;0;6,94;1;1;2;0;0;1;2;1;0;0;2;2;0;0;1;3;0;647;1;43;27706;27706;0;0;0;27706;0;0;0;0;0;0;0;647;0
1;1;5,94;0;5,94;1;1;1;0;0;1;1;1;0;0;0;2;0;2;2;2;0;209;2;25;5226;5226;0;0;0;5226;0;0;0;0;0;0;0;209;0
1;0;25,1;25,1;0;1;1;0;1;0;0;0;1;1;0;3;0;0;0;0;4;0;-1;1;0;271;271;271;271;0;0;11500;11500;0;0;0;0;0;0;0
1;0;43,65;0;43,65;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;2;0;196;1;15;3032;3032;0;0;0;3032;0;0;0;0;0;0;0;196;0
1;1;40,68;40,68;14,1;2;2;1;1;0;1;1;2;1;0;3;1;0;0;0;5;0;131;1;9;3791;3791;2554;2554;0;1237;3000;3000;0;0;0;0;0;131;0
1;0;179,9;179,9;0;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;2;0;-1;2;0;446;446;0;446;446;0;4973;0;4973;0;0;0;0;0;0
1;1;23,52;19,87;23,52;2;3;1;1;0;2;1;3;1;0;0;1;0;1;1;3;-1;78;1;0;0;0;0;0;0;0;3000;3000;0;0;0;0;0;135;0
2;1;77,26;77,26;5,61;2;2;1;1;0;1;1;2;1;0;0;1;0;1;1;2;0;343;1;17;5811;5811;0;0;0;5811;1900;1900;0;0;0;0;0;343;0
3;1;185,58;185,58;80,48;3;5;1;2;0;3;1;4;0;2;0;1;0;0;1;5;253;743;2;32;43405;38242;0;4767;4767;38638;6500;0;6500;301;301;0;48;1055;0
2;1;34,77;34,77;31,16;3;6;1;2;0;4;1;6;1;1;0;2;0;1;1;6;0;262;1;0;0;0;0;0;0;0;1300;100;1200;0;0;0;0;750;0
3;0;120,65;120,65;13,61;3;3;1;1;0;2;1;3;0;1;0;0;0;0;0;3;1;301;2;4;3940;3940;0;0;0;3940;3500;0;3500;1;1;0;0;435;0
1;0;133,74;133,74;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;1;0;0;0;0;0;0;0;300;0;300;0;0;0;0;0;0
1;0;23,16;0;23,16;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;467;1;23;10650;10650;0;0;0;10650;0;0;0;0;0;0;0;467;0
1;0;29,52;0;29,52;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1670,5392;2;3311;552540,3321;0;0;0;0;552540,3321;0;0;0;0;0;0;0;1670,5392;0
2;0;142,97;0;142,97;1;3;2;0;0;3;2;3;0;0;1;0;0;0;0;4;0;229;1;0;1373;1373;0;0;0;1373;0;0;0;0;0;0;0;484;0
1;0;41,23;0;41,23;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;185;1;0;8;8;0;0;0;8;0;0;0;0;0;0;0;185;0
2;0;45,71;45,71;5,58;2;2;1;1;0;1;1;2;1;0;0;0;0;0;0;2;0;198;1;5;991;991;0;0;0;991;4000;4000;0;0;0;0;0;198;0
2;1;12,42;0;12,42;2;2;1;0;0;2;1;2;0;0;0;1;1;1;1;2;0;423;2;48;21780;21780;0;0;0;21780;0;0;0;0;0;0;0;423;0
2;1;4,94;0;4,94;2;2;2;0;0;2;2;1;0;0;0;1;1;1;1;2;0;399;2;9;57697;1067;0;0;0;57697;0;0;0;0;0;0;0;517;0
1;3;4,94;0;4,94;1;1;1;0;0;1;1;1;0;0;0;4;0;4;4;1;0;568;1;41;23450;23450;0;0;0;23450;0;0;0;0;0;0;0;568;0
1;1;136,65;136,65;19,32;2;2;0;1;0;1;0;2;0;1;0;1;0;0;1;2;0;918;2;35;43897;43897;0;11393;11393;32504;13000;0;13000;0;0;0;0;918;0
1;0;21,19;0;21,19;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;2;0;838;1;27;22636;22636;0;0;0;22636;0;0;0;0;0;0;0;838;0
1;0;36,29;36,29;32,06;2;2;0;1;0;1;0;1;1;0;0;0;0;0;0;2;0;1506,0164;2;4485;674698,5111;0;0;0;0;674698,5111;1000;1000;0;0;0;0;0;1506,0164;0
1;0;107;107;35,23;2;2;0;1;0;1;0;2;0;1;2;0;0;0;0;4;0;330;2;2;659;659;0;1;1;658;850;0;850;0;0;0;0;330;0
2;2;140,74;140,74;20,35;3;6;1;2;1;4;0;6;1;1;4;4;2;4;4;10;0;445;2;7;26653;26653;3848;4696;848;21957;7000;4000;3000;0;0;0;0;954;0
0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;1;1;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1,74;0;1,74;1;1;1;0;0;1;1;1;0;0;0;1;1;1;1;1;0;0;2;0;16047;16047;0;0;0;16047;0;0;0;0;0;0;0;0;0
1;1;108,42;108,42;2,35;2;2;1;1;0;1;1;1;0;1;0;2;1;1;2;2;0;650;2;78;50832;0;0;0;0;50832;2000;0;2000;0;0;0;0;650;0
0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;3;2;2;2;2;3;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;19,03;19,03;4,13;2;2;1;1;0;1;1;2;1;0;0;1;0;1;1;2;0;269;1;6;1619;1619;0;0;0;1619;5500;5500;0;0;0;0;0;269;0
2;3;13,65;13,65;3,13;2;2;1;1;0;1;1;2;0;1;1;4;2;3;4;3;0;316;3;14;11614;11614;0;7166;7166;4448;8000;0;8000;0;0;0;0;316;0
1;1;3,55;0;3,55;1;1;1;0;0;1;1;1;0;0;0;1;0;1;1;1;0;479;2;40;18940;18940;0;0;0;18940;0;0;0;0;0;0;0;479;0
4;1;137,48;137,48;59,61;4;6;0;3;0;3;0;5;2;1;11;1;1;1;1;17;432,6162;526;2;56;63009,0868;40691;6121;6422;301;56587,0868;7900;7600;300;697,6162;265;264;265;918,7296;0
2;0;21,65;13,35;21,65;2;2;0;1;0;1;0;2;1;0;2;0;0;0;0;4;0;214;1;16;4376;4376;958;958;0;3418;2200;2200;0;0;0;0;0;214;0
1;3;8,48;8,32;8,48;2;2;2;1;1;1;1;1;0;1;0;5;0;0;2;2;0;943;1;183;172916;0;0;0;0;172916;1000;0;1000;0;0;0;0;943;0
1;0;119,16;119,16;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;1;0;0;0;0;0;0;0;5000;0;5000;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;10,68;0;10,68;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;2;0;10455;10455;0;0;0;10455;0;0;0;0;0;0;0;0;0
2;1;64,45;64,45;3,45;2;2;1;1;0;1;1;2;0;1;0;1;0;1;1;2;0;235;1;23;5497;5497;0;0;0;5497;1500;0;1500;0;0;0;0;235;0
1;0;20,45;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;2;-1;-1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;68,84;0;68,84;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;2;12;0;1;0;12;12;0;0;0;12;0;0;0;12;12;0;0;0;0
1;0;47,94;47,94;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;-1;1;0;1982;1982;1982;1982;0;0;3000;3000;0;0;0;0;0;0;0
0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;3;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;8,94;8,94;0;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;-1;1;0;1028;1028;1028;1028;0;0;10000;10000;0;0;0;0;0;0;0
2;1;133,94;133,94;7,55;2;2;1;1;0;1;1;1;0;1;1;2;0;0;2;3;0;871;2;43;37666;0;0;0;0;37666;1000;0;1000;0;0;0;0;871;0
1;0;131,97;131,97;0;1;1;0;1;0;0;0;1;0;1;2;0;0;0;0;3;0;-1;1;0;185;185;0;185;185;0;300;0;300;0;0;0;0;0;0
1;0;42,39;35,87;42,39;2;2;0;1;0;1;0;1;1;0;1;0;0;0;0;3;-1;575;2;0;0;0;0;0;0;0;20000;20000;0;0;0;0;0;575;0
2;2;7,32;7,32;2,26;2;2;2;1;1;1;1;2;0;1;1;2;1;1;2;3;0;157;2;18;5884;5884;0;3021;3021;2863;3500;0;3500;0;0;0;0;157;0
2;0;63,29;63,29;0;1;2;0;2;0;0;0;2;2;0;2;0;0;0;0;4;0;-1;1;0;92;92;92;92;0;0;7200;7200;0;0;0;0;0;0;0
2;0;122,61;122,61;53,16;3;5;0;3;0;2;0;3;2;1;0;0;0;0;0;5;0;1986,9292;2;392;374357,0886;37484;1564;37484;35920;336873,0886;44700;7300;37400;0;0;0;0;3818,8273;0
3;1;62,32;62,32;41,65;3;3;0;2;0;1;0;2;0;2;0;1;0;0;1;4;0;1165,916;2;2492;308578,0786;0;0;0;0;308578,0786;8400;0;8400;0;0;0;0;1165,916;0
3;6;108,68;108,68;17,29;4;5;1;3;0;2;1;5;1;2;3;9;0;1;7;8;886;1359;2;15;61743;61743;117;7620;7503;54123;14400;1500;12900;1675;1675;80;1217;1495;0
1;1;66,77;66,77;0;2;2;2;2;2;0;0;2;1;1;11;5;1;1;3;13;55;-1;1;0;5492;5492;237;5492;5255;0;7200;2000;5200;55;55;0;55;0;0
1;0;38,61;0;38,61;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;3;0;25913;0;0;0;0;25913;0;0;0;0;0;0;0;0;0
1;0;53;0;53;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;89658,5982;0;0;0;0;89658,5982;0;0;0;0;0;0;0;0;0
2;0;30,13;0;30,13;2;3;0;0;0;3;0;3;0;0;3;0;0;0;0;6;2;237;2;6;2323;2323;0;0;0;2323;0;0;0;2;2;0;0;379;0
1;0;137,39;137,39;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;2;0;0;0;0;0;0;0;20000;0;20000;0;0;0;0;0;0
2;0;29,23;0;29,23;1;2;0;0;0;2;0;2;0;0;3;0;0;0;0;5;178;5061;1;5;27359;27359;0;0;0;27359;0;0;0;178;178;0;0;5236;0
3;0;36,55;17,35;36,55;2;3;0;1;0;2;0;1;0;1;0;0;0;0;0;3;0;2300,1553;2;1251;377482,5619;0;0;0;0;377482,5619;100;0;100;0;0;0;0;2300,1553;0
1;0;94,32;0;94,32;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;273;3;36;9813;9813;0;0;0;9813;0;0;0;0;0;0;0;273;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;5,39;0;5,39;1;1;1;0;0;1;1;1;0;0;0;2;0;1;2;1;0;0;2;0;16721;16721;0;0;0;16721;0;0;0;0;0;0;0;0;0
1;1;32,65;0;32,65;1;1;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;636;1;36;22720;22720;0;0;0;22720;0;0;0;0;0;0;0;636;0
2;2;71,39;0;71,39;2;2;1;0;0;2;1;1;0;0;0;2;1;1;1;2;193;193;3;19;7008;3684;0;0;0;7008;0;0;0;193;193;0;0;276;0
2;2;25,45;25,45;6,48;2;2;1;1;0;1;1;2;0;1;0;2;0;0;2;2;0;689;1;34;23515;23515;0;4;4;23511;300;0;300;0;0;0;0;689;0
1;1;4,13;0;4,13;1;1;1;0;0;1;1;1;0;0;5;1;0;1;1;6;0;0;1;0;7329;7329;0;0;0;7329;0;0;0;0;0;0;0;0;0
1;1;135,35;135,35;1,9;2;2;1;1;0;1;1;2;0;1;1;1;1;1;1;3;4;0;1;0;2239;2239;0;304;304;1935;300;0;300;4;4;0;4;0;0
1;1;4,13;0;4,13;1;1;1;0;0;1;1;1;0;0;0;2;1;2;2;1;0;351;1;14;4774;4774;0;0;0;4774;0;0;0;0;0;0;0;351;0
1;0;82,1;82,1;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;2;0;0;0;0;0;0;0;7000;0;7000;0;0;0;0;0;0
2;0;19,32;0;19,32;1;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;82;1;9;8790;8790;0;0;0;8790;0;0;0;0;0;0;0;82;0
1;0;52,48;0;52,48;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;518;1;29;14988;14988;0;0;0;14988;0;0;0;1;1;0;0;518;0
1;0;154,45;154,45;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;2;0;629;629;0;629;629;0;2000;0;2000;0;0;0;0;0;0
1;0;43,03;42,97;43,03;3;5;0;2;0;3;0;2;1;1;0;0;0;0;0;5;0;926,5964;2;67;295568,643;3994;2685;3994;1309;291574,643;5000;3000;2000;0;0;0;0;2181,5964;0
1;0;63,52;63,52;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;2;0;0;0;0;0;0;0;300;0;300;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;166,32;166,32;1,39;2;2;1;1;0;1;1;2;0;1;2;2;1;1;2;4;0;0;2;0;71276;71276;0;388;388;70888;2000;0;2000;0;0;0;0;0;0
2;0;130,55;130,55;97,58;2;2;0;1;0;1;0;1;0;1;1;0;0;0;0;3;0;726;2;111;80571;0;0;0;0;80571;300;0;300;0;0;0;0;726;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;50,39;50,39;16,23;3;3;0;2;0;1;0;3;1;1;0;0;0;0;0;3;0;294;1;8;2887;2887;502;502;0;2385;2500;1000;1500;0;0;0;0;294;0
